,,,Civil,EE,ME,ECE,CSE,MDS,MME,Chem,B.Tech.,B.Arch.,B.Plan,TOTAL,
2024-12-02,MAQ Software,6M + FTE,,,,,5,,,,5,,,5,9.0
2024-12-03,Kantar,FTE,,,,,0,,,,0,,,0,7.3
2024-12-04,Varun Beverages,FTE,,1,2,,,,,,3,,,3,7.5
2024-12-05,Secure Meters,6M + FTE,,1,,,,,,1,2,,,2,5.0
2024-12-06,Avaada Group,FTE,3,2,0,1,,,,1,7,,,7,6.0
2024-12-07,ABG,FTE,3,0,4,,,,0,4,11,,,11,8.0
2024-12-08,CHIL,6M,,,,,0,,,,0,,,0,25.0
2024-12-09,L&T Finance,6M,,,,0,0,,,,0,,,0,
2024-12-10,Asahi India Glass Ltd,6M + FTE,,0,1,,,,,,1,,,1,5.5
2024-12-11,Ather Energy,6M + FTE,,0,0,1,,,,,1,,,1,12.0
2024-12-12,CCTech,6M + FTE,1,0,1,0,0,0,0,0,2,0,,2,10.0
2024-12-13,Hero Future Energy,FTE,,3,0,0,,0,,,3,,,3,7.5
2024-12-14,Decimal point Analytics,FTE,0,0,0,0,2,0,0,0,2,,,2,27.2
2024-12-15,Qubits Education,6M,0,2,0,2,0,0,,,4,,,4,7.5
2024-12-16,Azentio,6M,0,0,0,0,3,0,0,0,3,,,3,10.0
2024-12-17,Practo (BA),6M,,1,,1,,1,,,3,,,3,10.0
2024-12-18,TensorGo,6M,0,0,0,0,0,0,0,0,0,,,0,8.0
2024-12-19,Squadcast,6M,0,0,0,0,0,0,0,0,0,,,0,20.05
2024-12-20,Academor,6M,0,3,5,5,5,0,5,1,24,5,10,39,8.0
2024-12-21,Talent Trek,4M,1,1,5,3,1,,2,0,13,,9,22,8.0
2024-12-22,TechMatrix,6M + FTE,,,,,0,,,,0,,,0,5.0
2025-01-01,NBC Bearings,FTE,,,4,0,,,0,,4,,,4,5.8
2025-01-02,ICICI,FTE,1,3,5,1,1,0,0,1,12,,,12,11.4
2025-01-03,Tetrahedron,6M,,0,1,0,0,,,,1,,0,1,4.32
2025-01-04,Juniper Green Energy,6M,0,0,0,1,,,,,1,,,1,6.0
2025-01-05,ZL Technologies,FTE,0,1,0,0,0,0,,0,1,,,1,11.0
2025-01-06,njivani Group of Institutio,FTE,,,,,,,,,0,,,0,6.0
2025-01-07,Paribas India Solution Pvt.,6M,,0,,0,0,,,,0,,,0,6.0
2025-01-08,Applied Materials,FTE,,0,2,,,,,,2,,,2,11.28
2025-01-09,Junglee Games,FTE,0,0,0,1,0,2,0,0,3,,,3,15.0
2025-01-10,Namekart,6M,0,0,0,0,0,0,0,0,0,,,0,25.0
2025-01-11,Juspay,8M + FTE,0,0,0,0,0,0,0,0,0,,,0,27.0
2025-01-12,Ideametrics,6M + FTE,,,0,,,,0,,0,,,0,10.0
2025-01-13,Shipsy,6M,,0,,1,0,0,,,1,,,1,14.0
2025-01-14,Clearwater Analytics,6M,,,,1,0,,,,1,,,1,11.0
2025-01-15,Accolite,FTE,,,,0,1,,,,1,,,1,8.0
2025-01-16,ayananda Sagar Universit,FTE,,,,,,,,,0,,,0,7.2
2025-01-17,Techture,6M + FTE,0,0,0,,,,,,0,7,,7,4.5
2025-01-18,InfinityLearn,FTE,0,0,0,0,0,0,0,0,0,0,0,0,5.5
2025-01-19,SMCC,FTE,10,,,,,,,,10,,,10,5.5
2025-01-20,Rodic Consultant,FTE,2,,,,,,,,2,,,2,9.0
2025-01-21,Bakliwal Tutorials,FTE,0,0,1,0,0,0,0,0,1,,,1,6.0
2025-02-01,D&H Secheron,6M + FTE,,,0,,,,1,,1,,,1,6.0
2025-02-02,JK Lakshmi Cement,FTE,0,,,,,,,,0,,,0,7.5
2025-02-03,yaswal NECO Industries L,6M + FTE,,1,2,1,0,,2,,6,,,6,7.2
2025-02-04,Technip Energy,FTE,0,0,3,,,,,3,6,,,6,
2025-02-05,THOMSON DIGITAL,FTE,,,,,,,,,0,,,0,8.0
2025-02-06,JSW Group,FTE,,6,14,,,,17,5,42,,,42,8.5
2025-02-07,Aryaka Networks,6M + FTE,,,,,2,,,,2,,,2,15.19
2025-02-08,RazorPay,6M,,,,,2,,,,2,,,2,
2025-02-09,Atkins realis,6M + FTE,0,0,0,0,,,,0,0,,,0,6.22
2025-02-10,Johnson's Control,6M + FTE,,1,0,1,0,,,,2,,,2,8.5
2025-02-11,Sun Pharma,4M + PPO,,1,2,,,,,2,5,,,5,10.0
2025-02-12,Bosch,6M,,1,,,1,,,,2,,,2,
2025-02-13,Aarti Industries,FTE,,0,,,,,,3,3,,,3,6.8
2025-02-14,Jyesta Corporate Entity,6M + FTE,1,1,1,0,1,0,0,0,4,0,0,4,9.0
2025-02-15,ash Education Services Lim,FTE,0,0,0,0,0,0,0,0,0,,,0,12.0
2025-02-16,HCL Tech,FTE,,,,0,1,,,,1,,,1,12.0
2025-02-17,Pradan,FTE,0,0,0,0,0,,0,0,0,0,1,1,8.64
2025-02-18,Adani,FTE,7,2,15,,,,0,2,26,,,26,6.5
2025-02-19,Tata Consulting Enginee,FTE,0,0,1,,0,,0,0,1,0,,1,5.0
2025-02-20,SYGNIFIC CAREER,FTE,,,,,,,,,0,,,0,4.0
2025-02-01,Park+,6M,0,0,0,0,2,0,0,0,2,,,2,22.0
2025-02-01,Toshiba,6M,,,,0,2,,,,2,,,2,10.0
2025-03-01,AM/NS,FTE,,,6,,,,2,,8,,,8,8.5
